                             List of relations
 schema |                      name                      | type  |  owner   
 public | fbid_sample_muslim                             | table | edgeflip
 public | fbid_sample_nonafrican_american                | table | edgeflip
 public | fbid_sample_nonasian                           | table | edgeflip
 public | fbid_sample_nonhispanic                        | table | edgeflip
 public | fbid_sample_nonparents                         | table | edgeflip
 public | fbid_sample_nonparents_100k                    | table | edgeflip
 public | fbid_sample_nonveterans                        | table | edgeflip
 public | fbid_sample_parent                             | table | edgeflip
 public | fbid_sample_smokers                            | table | edgeflip
 public | fbid_sample_smokers_messages                   | table | edgeflip
 public | fbid_sample_vegan                              | table | edgeflip
 public | fbid_sample_vegans_messages                    | table | edgeflip
 public | fbid_sample_veteran                            | table | edgeflip
 public | fbid_sample_veteran_interests                  | table | edgeflip
 public | fbidhourly                                     | table | edgeflip
 public | friend_fbid_facts_hourly                       | table | edgeflip
 public | friendhourly                                   | table | edgeflip
 public | interest_counts                                | table | edgeflip
 public | ip_facts_hourly                                | table | edgeflip
 public | misc_facts_hourly                              | table | edgeflip
 public | missingedges                                   | table | edgeflip
 public | nh_gotv                                        | table | edgeflip
 public | nh_gotv_persuasion                             | table | edgeflip
 public | nh_persuasion                                  | table | edgeflip
 public | nh_pull2                                       | table | edgeflip
 public | old_visits                                     | table | edgeflip
 public | outgoingdump                                   | table | edgeflip
 public | page_likes                                     | table | edgeflip
 public | post_aggregates                                | table | edgeflip
 public | posts                                          | table | edgeflip
 public | posts_edf                                      | table | edgeflip
 public | posts_sample                                   | table | edgeflip
 public | px_eval_tristan                                | table | edgeflip
 public | px_eval_tristan_grouped                        | table | edgeflip
 public | target_source_birth_years                      | table | edgeflip
 public | temp_sample                                    | table | edgeflip
 public | temp_veterans                                  | table | edgeflip
 public | test                                           | table | edgeflip
 public | test_create_table                              | table | edgeflip
 public | tmp_edf1                                       | table | edgeflip
 public | tmp_edf2                                       | table | edgeflip
 public | tokens                                         | table | edgeflip
 public | top_words                                      | table | edgeflip
 public | user_aggregates                                | table | edgeflip
 public | user_clients                                   | table | edgeflip
 public | user_interactor_aggregates                     | table | edgeflip
 public | user_old                                       | table | edgeflip
 public | user_poster_aggregates                         | table | edgeflip
 public | user_posts                                     | table | edgeflip
 public | user_posts_sample                              | table | edgeflip
 public | user_posts_sample_deduped                      | table | edgeflip
 public | user_posts_temp                                | table | edgeflip
 public | user_posts_with_poster_110000                  | table | edgeflip
 public | user_px5_african_american_100k_updated         | table | edgeflip
 public | user_px5_african_american_100k_updated_l2_prev | table | edgeflip
 public | user_px5_asian_100k_updated                    | table | edgeflip
 public | user_px5_atheist_updated                       | table | edgeflip
 public | user_px5_christian_updated                     | table | edgeflip
 public | user_px5_environment_updated                   | table | edgeflip
 public | user_px5_female                                | table | edgeflip
 public | user_px5_female_updated                        | table | edgeflip
 public | user_px5_hispanic_100k_updated                 | table | edgeflip
 public | user_px5_jewish_updated                        | table | edgeflip
 public | user_px5_jewish_updated_prev                   | table | edgeflip
 public | user_px5_lgbt_updated                          | table | edgeflip
 public | user_px5_liberal_updated                       | table | edgeflip
 public | user_px5_muslim_updated                        | table | edgeflip
 public | user_px5_parent                                | table | edgeflip
 public | user_px5_parent_updated                        | table | edgeflip
 public | user_px5_vegan                                 | table | edgeflip
 public | user_px5_vegan_updated                         | table | edgeflip
 public | user_px5_veteran                               | table | edgeflip
 public | user_px5_veteran_updated                       | table | edgeflip
 public | userdump                                       | table | edgeflip
 public | users                                          | table | edgeflip
 public | users_primaryflag                              | table | edgeflip
 public | users_staging                                  | table | edgeflip
 public | v2_edges                                       | table | edgeflip
 public | v2_locales                                     | table | edgeflip
 public | v2_page_likes                                  | table | edgeflip
 public | v2_posts                                       | table | edgeflip
 public | v2_user_posts                                  | table | edgeflip
 public | v2_users                                       | table | edgeflip
 public | va_combined                                    | table | edgeflip
 public | va_gotv                                        | table | edgeflip
 public | va_persuasion                                  | table | edgeflip
 public | veteran_previous                               | table | edgeflip
 public | visit_edges                                    | table | edgeflip
 public | visit_edges_with_attributes                    | table | edgeflip
 public | visit_facts_hourly                             | table | edgeflip
 public | visit_fbids                                    | table | edgeflip
 public | visithourly                                    | table | edgeflip
 public | visitors                                       | table | edgeflip
 public | visitors_visitorkey                            | table | edgeflip
 public | visits                                         | table | edgeflip
 public | visits_visitkey                                | table | edgeflip
 public | visits_visitorkey                              | table | edgeflip
 public | xian_commenters                                | table | edgeflip
 public | xian_likers                                    | table | edgeflip
(193 rows)

